epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,686.206,0.59855,0.48861,0.01239,0.9865,1,0.995,0.995,0.20249,0.22321,0.00594,5.86793e-05,5.86793e-05,5.86793e-05
43,701.926,0.44112,0.41684,0.00731,0.9865,1,0.995,0.995,0.20249,0.22321,0.00594,5.90918e-05,5.90918e-05,5.90918e-05
44,717.41,0.53047,0.47079,0.00925,0.98531,1,0.995,0.995,0.19997,0.2362,0.00586,5.94573e-05,5.94573e-05,5.94573e-05
45,733.016,0.49684,0.46923,0.00909,0.98531,1,0.995,0.995,0.19997,0.2362,0.00586,5.97756e-05,5.97756e-05,5.97756e-05
46,748.466,0.55127,0.54958,0.00884,0.98614,1,0.995,0.995,0.21982,0.22796,0.00667,6.00468e-05,6.00468e-05,6.00468e-05
47,764.09,0.35725,0.48394,0.00609,0.98614,1,0.995,0.995,0.21982,0.22796,0.00667,6.02709e-05,6.02709e-05,6.02709e-05
48,779.602,0.40896,0.42965,0.00654,0.98582,1,0.995,0.995,0.2146,0.23068,0.00649,6.04478e-05,6.04478e-05,6.04478e-05
49,794.871,0.55384,0.50441,0.01114,0.98582,1,0.995,0.995,0.2146,0.23068,0.00649,6.05777e-05,6.05777e-05,6.05777e-05
50,810.496,0.46966,0.44104,0.00863,0.9856,1,0.995,0.995,0.22966,0.22999,0.00702,6.06604e-05,6.06604e-05,6.06604e-05
51,827.055,0.5239,0.63745,0.00874,0.9856,1,0.995,0.995,0.22966,0.22999,0.00702,6.0095e-05,6.0095e-05,6.0095e-05
52,846.428,0.47025,0.53899,0.00852,0.98555,1,0.995,0.995,0.21444,0.22325,0.00681,5.89169e-05,5.89169e-05,5.89169e-05
53,862.44,0.48461,0.46033,0.00846,0.98555,1,0.995,0.995,0.21444,0.22325,0.00681,5.77388e-05,5.77388e-05,5.77388e-05
54,878.807,0.31936,0.36408,0.00575,0.98521,1,0.995,0.995,0.18555,0.21962,0.00607,5.65607e-05,5.65607e-05,5.65607e-05
55,894.66,0.48612,0.46609,0.00895,0.98521,1,0.995,0.995,0.18555,0.21962,0.00607,5.53826e-05,5.53826e-05,5.53826e-05
56,911.35,0.53351,0.43722,0.00938,0.98521,1,0.995,0.995,0.14823,0.20881,0.00498,5.42045e-05,5.42045e-05,5.42045e-05
57,928.594,0.49481,0.40311,0.01017,0.98521,1,0.995,0.995,0.14823,0.20881,0.00498,5.30264e-05,5.30264e-05,5.30264e-05
58,944.595,0.4433,0.50193,0.00751,0.9876,1,0.995,0.995,0.12882,0.25431,0.00441,5.18483e-05,5.18483e-05,5.18483e-05
59,961.7,0.34536,0.38521,0.00648,0.9876,1,0.995,0.995,0.12882,0.25431,0.00441,5.06702e-05,5.06702e-05,5.06702e-05
60,979.784,0.61396,0.52561,0.01432,0.98515,1,0.995,0.995,0.16698,0.21712,0.00545,4.94921e-05,4.94921e-05,4.94921e-05
61,996.395,0.69167,0.58116,0.01413,0.98515,1,0.995,0.995,0.16698,0.21712,0.00545,4.8314e-05,4.8314e-05,4.8314e-05
62,1016.39,0.35416,0.43703,0.00707,0.9851,1,0.995,0.995,0.1736,0.21397,0.00542,4.71359e-05,4.71359e-05,4.71359e-05
63,1033.32,0.43574,0.55665,0.00708,0.9851,1,0.995,0.995,0.1736,0.21397,0.00542,4.59578e-05,4.59578e-05,4.59578e-05
64,1050.02,0.49259,0.35513,0.01029,0.98474,1,0.995,0.995,0.17594,0.19718,0.00538,4.47797e-05,4.47797e-05,4.47797e-05
65,1068.02,0.43609,0.41714,0.0069,0.98474,1,0.995,0.995,0.17594,0.19718,0.00538,4.36016e-05,4.36016e-05,4.36016e-05
66,1083.85,0.51213,0.43877,0.01039,0.98484,1,0.995,0.995,0.19629,0.19568,0.00582,4.24235e-05,4.24235e-05,4.24235e-05
